"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"SDK_MN004","2564","20140705","2.9","3","0"
"SDK_MN004","2564","20140706","8.6","3","0"
"SDK_MN004","2564","20140707","6.3","3","0"
"SDK_MN004","2564","20140708","0.6","3","0"
"SDK_MN004","2564","20140709","13.1","3","0"
"SDK_MN004","2564","20140710","15.7","3","0"
"SDK_MN004","2564","20140711","15.3","3","0"
"SDK_MN004","2564","20140712","12.1","3","0"
"SDK_MN004","2564","20140713","0.1","3","0"
"SDK_MN004","2564","20140714","3","3","0"
"SDK_MN004","2564","20140715","8.9","3","0"
"SDK_MN004","2564","20140716","4.3","3","0"
"SDK_MN004","2564","20140717","13.5","3","0"
"SDK_MN004","2564","20140718","13.5","3","0"
"SDK_MN004","2564","20140719","14.6","3","0"
"SDK_MN004","2564","20140720","9.4","3","0"
"SDK_MN004","2564","20140721","14","3","0"
"SDK_MN004","2564","20140722","14.9","3","0"
"SDK_MN004","2564","20140723","15.5","3","0"
"SDK_MN004","2564","20140724","13.1","3","0"
"SDK_MN004","2564","20140725","9.9","3","0"
"SDK_MN004","2564","20140726","3.4","3","0"
"SDK_MN004","2564","20140727","7.9","3","0"
"SDK_MN004","2564","20140728","13.5","3","0"
"SDK_MN004","2564","20140729","12","3","0"
"SDK_MN004","2564","20140730","3.7","3","0"
"SDK_MN004","2564","20140731","9.1","3","0"
"SDK_MN004","2564","20140801","11.2","3","0"
"SDK_MN004","2564","20140802","9.8","3","0"
"SDK_MN004","2564","20140803","5.3","3","0"
"SDK_MN004","2564","20140804","3.9","3","0"
"SDK_MN004","2564","20140805","6.3","3","0"
"SDK_MN004","2564","20140806","11.9","3","0"
"SDK_MN004","2564","20140807","1.2","3","0"
"SDK_MN004","2564","20140808","10.1","3","0"
"SDK_MN004","2564","20140809","5","3","0"
"SDK_MN004","2564","20140810","6.1","3","0"
"SDK_MN004","2564","20140811","8.4","3","0"
"SDK_MN004","2564","20140812","6.1","3","0"
"SDK_MN004","2564","20140813","9","3","0"
"SDK_MN004","2564","20140814","3.9","3","0"
"SDK_MN004","2564","20140815","5.4","3","0"
"SDK_MN004","2564","20140816","3.5","3","0"
"SDK_MN004","2564","20140817","0","3","0"
"SDK_MN004","2564","20140818","3.6","3","0"
"SDK_MN004","2564","20140819","6.2","3","0"
"SDK_MN004","2564","20140820","6.5","3","0"
"SDK_MN004","2564","20140821","7.6","3","0"
"SDK_MN004","2564","20140822","3.9","3","0"
"SDK_MN004","2564","20140823","7.1","3","0"
"SDK_MN004","2564","20140824","10.1","3","0"
"SDK_MN004","2564","20140825","5.7","3","0"
"SDK_MN004","2564","20140826","11.4","3","0"
"SDK_MN004","2564","20140827","12.8","3","0"
"SDK_MN004","2564","20140828","10.6","3","0"
"SDK_MN004","2564","20140829","4.9","3","0"
"SDK_MN004","2564","20140830","1.6","3","0"
"SDK_MN004","2564","20140831","1.5","3","0"
"SDK_MN004","2564","20140901","0.4","3","0"
"SDK_MN004","2564","20140902","10.9","3","0"
"SDK_MN004","2564","20140903","11.1","3","0"
"SDK_MN004","2564","20140904","12.8","3","0"
"SDK_MN004","2564","20140905","7.3","3","0"
"SDK_MN004","2564","20140906","8.6","3","0"
"SDK_MN004","2564","20140907","1","3","0"
"SDK_MN004","2564","20140908","7.6","3","0"
"SDK_MN004","2564","20140909","4","3","0"
"SDK_MN004","2564","20140910","8.3","3","0"
"SDK_MN004","2564","20140911","7.7","3","0"
"SDK_MN004","2564","20140912","9.1","3","0"
"SDK_MN004","2564","20140913","2","3","0"
"SDK_MN004","2564","20140914","0.3","3","0"
"SDK_MN004","2564","20140915","5.2","3","0"
"SDK_MN004","2564","20140916","11","3","0"
"SDK_MN004","2564","20140917","9.5","3","0"
